"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6230","Add new employee in OrangeHRM","chromium","Sat Jul 19 18:42:28 GMT 2025","passed","Sat Jul 19 18:42:35 GMT 2025","Verify adding new employee","e2e/PIM/addEmployee.e2e.spec.ts","",""
"","1368","Login with valid username having special characters","chromium","Sat Jul 19 18:38:05 GMT 2025","passed","Sat Jul 19 18:38:06 GMT 2025","Verify the user login with special characters","e2e/login.e2e.spec.ts","",""
"","1697","Login with an invalid password","chromium","Sat Jul 19 18:38:00 GMT 2025","passed","Sat Jul 19 18:38:01 GMT 2025","Verify the user login with invalid account","e2e/login.e2e.spec.ts","",""
"","1476","Login with password in lowercase","chromium","Sat Jul 19 18:40:09 GMT 2025","passed","Sat Jul 19 18:40:10 GMT 2025","Verify the user login with case sensitivity","e2e/login.e2e.spec.ts","",""
"","10368","Employee does not exist","chromium","Sat Jul 19 18:42:52 GMT 2025","passed","Sat Jul 19 18:43:03 GMT 2025","Verify search employee","e2e/PIM/searchEmployee.e2e.spec.ts","",""
"","1407","Login with username having whitespace at the beginning","chromium","Sat Jul 19 18:38:29 GMT 2025","passed","Sat Jul 19 18:38:31 GMT 2025","Verify the user login with white spaces","e2e/login.e2e.spec.ts","",""
"","3195","Multiple failed login attempts","chromium","Sat Jul 19 18:42:25 GMT 2025","passed","Sat Jul 19 18:42:28 GMT 2025","Verify the user login with multiple attempts","e2e/login.e2e.spec.ts","",""
"","1644","Login with password having XSS attack","chromium","Sat Jul 19 18:40:21 GMT 2025","passed","Sat Jul 19 18:40:22 GMT 2025","Verify the user login with XSS attack","e2e/login.e2e.spec.ts","",""
"","1726","Login with password at max length","chromium","Sat Jul 19 18:38:35 GMT 2025","passed","Sat Jul 19 18:38:37 GMT 2025","Verify the user login with max/min length","e2e/login.e2e.spec.ts","",""
"","1376","Login with an invalid username","chromium","Sat Jul 19 18:37:58 GMT 2025","passed","Sat Jul 19 18:38:00 GMT 2025","Verify the user login with invalid account","e2e/login.e2e.spec.ts","",""
"","1374","Login with username at max length","chromium","Sat Jul 19 18:38:34 GMT 2025","passed","Sat Jul 19 18:38:35 GMT 2025","Verify the user login with max/min length","e2e/login.e2e.spec.ts","",""
"","6082","Login with username having whitespace at the end","chromium","Sat Jul 19 18:38:23 GMT 2025","failed","Sat Jul 19 18:38:29 GMT 2025","Verify the user login with white spaces","e2e/login.e2e.spec.ts","",""
