"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2325","Login with username at min length","chromium","Fri Jul 18 13:29:20 GMT 2025","passed","Fri Jul 18 13:29:22 GMT 2025","Verify the user login with max/min length","login.e2e.spec.ts","",""
"","6741","Login with username in lowercase","chromium","Fri Jul 18 13:30:28 GMT 2025","failed","Fri Jul 18 13:30:34 GMT 2025","Verify the user login with case sensitivity","login.e2e.spec.ts","",""
"","1959","Login with empty password","chromium","Fri Jul 18 13:28:30 GMT 2025","passed","Fri Jul 18 13:28:32 GMT 2025","Verify the user leaves empty fields","login.e2e.spec.ts","",""
"","7809","Add new employee in OrangeHRM","chromium","Fri Jul 18 13:33:35 GMT 2025","passed","Fri Jul 18 13:33:42 GMT 2025","Verify adding new employee","PIM/addEmployee.e2e.spec.ts","",""
"","2345","Login with an invalid username","chromium","Fri Jul 18 13:28:23 GMT 2025","passed","Fri Jul 18 13:28:26 GMT 2025","Verify the user login with invalid account","login.e2e.spec.ts","",""
"","2508","Login with valid credentials successfully","chromium","Fri Jul 18 13:28:19 GMT 2025","passed","Fri Jul 18 13:28:21 GMT 2025","Verify the user can login with valid account","login.e2e.spec.ts","",""
"","6753","Login with username in uppercase","chromium","Fri Jul 18 13:29:40 GMT 2025","failed","Fri Jul 18 13:29:46 GMT 2025","Verify the user login with case sensitivity","login.e2e.spec.ts","",""
"","2627","Login with valid username having special characters","chromium","Fri Jul 18 13:28:34 GMT 2025","passed","Fri Jul 18 13:28:37 GMT 2025","Verify the user login with special characters","login.e2e.spec.ts","",""
"","2416","Login with username at max length","chromium","Fri Jul 18 13:29:15 GMT 2025","passed","Fri Jul 18 13:29:17 GMT 2025","Verify the user login with max/min length","login.e2e.spec.ts","",""
"","2651","Login with password in Chinese","chromium","Fri Jul 18 13:31:08 GMT 2025","passed","Fri Jul 18 13:31:11 GMT 2025","Verify the user login with multi-languages","login.e2e.spec.ts","",""
"","2623","Login with an invalid password","chromium","Fri Jul 18 13:28:26 GMT 2025","passed","Fri Jul 18 13:28:28 GMT 2025","Verify the user login with invalid account","login.e2e.spec.ts","",""
"","6724","Login with mixed case username","chromium","Fri Jul 18 13:30:05 GMT 2025","failed","Fri Jul 18 13:30:12 GMT 2025","Verify the user login with case sensitivity","login.e2e.spec.ts","",""
"","2409","Login with username having whitespace at the beginning","chromium","Fri Jul 18 13:29:07 GMT 2025","passed","Fri Jul 18 13:29:09 GMT 2025","Verify the user login with white spaces","login.e2e.spec.ts","",""
"","2562","Login with password in Arabic","chromium","Fri Jul 18 13:31:13 GMT 2025","passed","Fri Jul 18 13:31:16 GMT 2025","Verify the user login with multi-languages","login.e2e.spec.ts","",""
"","2597","Cancel reset password","chromium","Fri Jul 18 13:32:58 GMT 2025","passed","Fri Jul 18 13:33:01 GMT 2025","Verify the password reset functionality","login.e2e.spec.ts","",""
"","5429","Multiple failed login attempts","chromium","Fri Jul 18 13:33:29 GMT 2025","passed","Fri Jul 18 13:33:34 GMT 2025","Verify the user login with multiple attempts","login.e2e.spec.ts","",""
"","2339","Login with username in Chinese","chromium","Fri Jul 18 13:31:06 GMT 2025","passed","Fri Jul 18 13:31:08 GMT 2025","Verify the user login with multi-languages","login.e2e.spec.ts","",""
"","2721","Login with mixed case password","chromium","Fri Jul 18 13:31:00 GMT 2025","passed","Fri Jul 18 13:31:03 GMT 2025","Verify the user login with case sensitivity","login.e2e.spec.ts","",""
"","2547","Login with password in lowercase","chromium","Fri Jul 18 13:31:03 GMT 2025","passed","Fri Jul 18 13:31:06 GMT 2025","Verify the user login with case sensitivity","login.e2e.spec.ts","",""
"","9261","Employee does not exist","chromium","Fri Jul 18 13:34:01 GMT 2025","passed","Fri Jul 18 13:34:10 GMT 2025","Verify search employee","PIM/searchEmployee.e2e.spec.ts","",""
"","6766","Login with strong valid password","chromium","Fri Jul 18 13:33:16 GMT 2025","failed","Fri Jul 18 13:33:23 GMT 2025","Verify the password that meets all criteria perfectly","login.e2e.spec.ts","",""
"","2688","Login with password having emojis","chromium","Fri Jul 18 13:33:26 GMT 2025","passed","Fri Jul 18 13:33:29 GMT 2025","Verify the user login with emojis","login.e2e.spec.ts","",""
"","1892","Login with empty username","chromium","Fri Jul 18 13:28:28 GMT 2025","passed","Fri Jul 18 13:28:30 GMT 2025","Verify the user leaves empty fields","login.e2e.spec.ts","",""
"","2629","Login with valid password having special characters","chromium","Fri Jul 18 13:28:37 GMT 2025","passed","Fri Jul 18 13:28:39 GMT 2025","Verify the user login with special characters","login.e2e.spec.ts","",""
"","2343","Login with username having XSS attack","chromium","Fri Jul 18 13:31:21 GMT 2025","passed","Fri Jul 18 13:31:23 GMT 2025","Verify the user login with XSS attack","login.e2e.spec.ts","",""
"","30072","Reset password with valid username","chromium","Fri Jul 18 13:32:27 GMT 2025","broken","Fri Jul 18 13:32:57 GMT 2025","Verify the password reset functionality","login.e2e.spec.ts","",""
"","2362","Login with username having SQL injection","chromium","Fri Jul 18 13:31:16 GMT 2025","passed","Fri Jul 18 13:31:18 GMT 2025","Verify the user login with SQL injection","login.e2e.spec.ts","",""
"","2692","Login with password in uppercase","chromium","Fri Jul 18 13:30:35 GMT 2025","passed","Fri Jul 18 13:30:38 GMT 2025","Verify the user login with case sensitivity","login.e2e.spec.ts","",""
"","2480","Login with username with first letter uppercase","chromium","Fri Jul 18 13:29:47 GMT 2025","passed","Fri Jul 18 13:29:50 GMT 2025","Verify the user login with case sensitivity","login.e2e.spec.ts","",""
"","2529","Login with invalid username having special characters","chromium","Fri Jul 18 13:28:39 GMT 2025","passed","Fri Jul 18 13:28:42 GMT 2025","Verify the user login with special characters","login.e2e.spec.ts","",""
"","2738","Login with password having whitespace at the beginning","chromium","Fri Jul 18 13:29:12 GMT 2025","passed","Fri Jul 18 13:29:15 GMT 2025","Verify the user login with white spaces","login.e2e.spec.ts","",""
"","6903","Login with username having whitespace at the end","chromium","Fri Jul 18 13:28:59 GMT 2025","failed","Fri Jul 18 13:29:06 GMT 2025","Verify the user login with white spaces","login.e2e.spec.ts","",""
"","2644","Login with password having SQL injection","chromium","Fri Jul 18 13:31:18 GMT 2025","passed","Fri Jul 18 13:31:21 GMT 2025","Verify the user login with SQL injection","login.e2e.spec.ts","",""
"","2746","Login with password at min length","chromium","Fri Jul 18 13:29:22 GMT 2025","passed","Fri Jul 18 13:29:25 GMT 2025","Verify the user login with max/min length","login.e2e.spec.ts","",""
"","6762","Login with password with first letter uppercase","chromium","Fri Jul 18 13:30:53 GMT 2025","failed","Fri Jul 18 13:31:00 GMT 2025","Verify the user login with case sensitivity","login.e2e.spec.ts","",""
"","8635","Employee exists","chromium","Fri Jul 18 13:33:42 GMT 2025","passed","Fri Jul 18 13:33:51 GMT 2025","Verify search employee","PIM/searchEmployee.e2e.spec.ts","",""
"","2721","Login with username having emojis","chromium","Fri Jul 18 13:33:24 GMT 2025","passed","Fri Jul 18 13:33:26 GMT 2025","Verify the user login with emojis","login.e2e.spec.ts","",""
"","2638","Login with password having whitespace at the end","chromium","Fri Jul 18 13:29:09 GMT 2025","passed","Fri Jul 18 13:29:12 GMT 2025","Verify the user login with white spaces","login.e2e.spec.ts","",""
"","2011","Login with both username and password fields empty","chromium","Fri Jul 18 13:28:32 GMT 2025","passed","Fri Jul 18 13:28:34 GMT 2025","Verify the user leaves empty fields","login.e2e.spec.ts","",""
"","2378","Login with username in Arabic","chromium","Fri Jul 18 13:31:11 GMT 2025","passed","Fri Jul 18 13:31:13 GMT 2025","Verify the user login with multi-languages","login.e2e.spec.ts","",""
"","2562","Login with password at max length","chromium","Fri Jul 18 13:29:17 GMT 2025","passed","Fri Jul 18 13:29:19 GMT 2025","Verify the user login with max/min length","login.e2e.spec.ts","",""
"","2710","Login with password having XSS attack","chromium","Fri Jul 18 13:31:23 GMT 2025","passed","Fri Jul 18 13:31:26 GMT 2025","Verify the user login with XSS attack","login.e2e.spec.ts","",""
