"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2126","Login with empty username","chromium","Sun Jul 20 04:31:56 GMT 2025","passed","Sun Jul 20 04:31:58 GMT 2025","Verify the user leaves empty fields","e2e/login.e2e.spec.ts","",""
"","6931","Login with strong valid password","chromium","Sun Jul 20 04:36:51 GMT 2025","failed","Sun Jul 20 04:36:58 GMT 2025","Verify the password that meets all criteria perfectly","e2e/login.e2e.spec.ts","",""
"","4755","Multiple failed login attempts","chromium","Sun Jul 20 04:37:04 GMT 2025","passed","Sun Jul 20 04:37:08 GMT 2025","Verify the user login with multiple attempts","e2e/login.e2e.spec.ts","",""
"","31767","Reset password with valid username","chromium","Sun Jul 20 04:36:00 GMT 2025","broken","Sun Jul 20 04:36:32 GMT 2025","Verify the password reset functionality","e2e/login.e2e.spec.ts","",""
"","7886","Add new employee in OrangeHRM","chromium","Sun Jul 20 04:37:09 GMT 2025","passed","Sun Jul 20 04:37:16 GMT 2025","Verify adding new employee","e2e/PIM/addEmployee.e2e.spec.ts","",""
"","2403","Login with username at max length","chromium","Sun Jul 20 04:32:40 GMT 2025","passed","Sun Jul 20 04:32:43 GMT 2025","Verify the user login with max/min length","e2e/login.e2e.spec.ts","",""
"","2743","Login with password having XSS attack","chromium","Sun Jul 20 04:34:53 GMT 2025","passed","Sun Jul 20 04:34:55 GMT 2025","Verify the user login with XSS attack","e2e/login.e2e.spec.ts","",""
"","6800","Login with password with first letter uppercase","chromium","Sun Jul 20 04:34:21 GMT 2025","failed","Sun Jul 20 04:34:28 GMT 2025","Verify the user login with case sensitivity","e2e/login.e2e.spec.ts","",""
"","6918","Login with username having whitespace at the end","chromium","Sun Jul 20 04:32:25 GMT 2025","failed","Sun Jul 20 04:32:31 GMT 2025","Verify the user login with white spaces","e2e/login.e2e.spec.ts","",""
"","2429","Login with valid username having special characters","chromium","Sun Jul 20 04:32:02 GMT 2025","passed","Sun Jul 20 04:32:04 GMT 2025","Verify the user login with special characters","e2e/login.e2e.spec.ts","",""
"","1991","Login with empty password","chromium","Sun Jul 20 04:31:58 GMT 2025","passed","Sun Jul 20 04:32:00 GMT 2025","Verify the user leaves empty fields","e2e/login.e2e.spec.ts","",""
"","2794","Login with mixed case password","chromium","Sun Jul 20 04:34:28 GMT 2025","passed","Sun Jul 20 04:34:31 GMT 2025","Verify the user login with case sensitivity","e2e/login.e2e.spec.ts","",""
"","6955","Login with username in uppercase","chromium","Sun Jul 20 04:33:06 GMT 2025","failed","Sun Jul 20 04:33:13 GMT 2025","Verify the user login with case sensitivity","e2e/login.e2e.spec.ts","",""
"","2529","Login with username having whitespace at the beginning","chromium","Sun Jul 20 04:32:32 GMT 2025","passed","Sun Jul 20 04:32:35 GMT 2025","Verify the user login with white spaces","e2e/login.e2e.spec.ts","",""
"","3078","Login with password at min length","chromium","Sun Jul 20 04:32:48 GMT 2025","passed","Sun Jul 20 04:32:51 GMT 2025","Verify the user login with max/min length","e2e/login.e2e.spec.ts","",""
"","3104","Login with username having SQL injection","chromium","Sun Jul 20 04:34:44 GMT 2025","passed","Sun Jul 20 04:34:47 GMT 2025","Verify the user login with SQL injection","e2e/login.e2e.spec.ts","",""
"","2472","Login with valid credentials successfully","chromium","Sun Jul 20 04:31:46 GMT 2025","passed","Sun Jul 20 04:31:48 GMT 2025","Verify the user can login with valid account","e2e/login.e2e.spec.ts","",""
"","2417","Login with username in Chinese","chromium","Sun Jul 20 04:34:34 GMT 2025","passed","Sun Jul 20 04:34:36 GMT 2025","Verify the user login with multi-languages","e2e/login.e2e.spec.ts","",""
"","11817","Employee exists","chromium","Sun Jul 20 04:37:16 GMT 2025","passed","Sun Jul 20 04:37:28 GMT 2025","Verify search employee","e2e/PIM/searchEmployee.e2e.spec.ts","",""
"","6947","Login with username in lowercase","chromium","Sun Jul 20 04:33:55 GMT 2025","failed","Sun Jul 20 04:34:02 GMT 2025","Verify the user login with case sensitivity","e2e/login.e2e.spec.ts","",""
"","2425","Login with invalid username having special characters","chromium","Sun Jul 20 04:32:07 GMT 2025","passed","Sun Jul 20 04:32:09 GMT 2025","Verify the user login with special characters","e2e/login.e2e.spec.ts","",""
"","2794","Login with password having SQL injection","chromium","Sun Jul 20 04:34:47 GMT 2025","passed","Sun Jul 20 04:34:50 GMT 2025","Verify the user login with SQL injection","e2e/login.e2e.spec.ts","",""
"","2783","Login with password having emojis","chromium","Sun Jul 20 04:37:01 GMT 2025","passed","Sun Jul 20 04:37:04 GMT 2025","Verify the user login with emojis","e2e/login.e2e.spec.ts","",""
"","2697","Login with password having whitespace at the beginning","chromium","Sun Jul 20 04:32:37 GMT 2025","passed","Sun Jul 20 04:32:40 GMT 2025","Verify the user login with white spaces","e2e/login.e2e.spec.ts","",""
"","2743","Login with an invalid password","chromium","Sun Jul 20 04:31:53 GMT 2025","passed","Sun Jul 20 04:31:56 GMT 2025","Verify the user login with invalid account","e2e/login.e2e.spec.ts","",""
"","2755","Login with password in uppercase","chromium","Sun Jul 20 04:34:03 GMT 2025","passed","Sun Jul 20 04:34:06 GMT 2025","Verify the user login with case sensitivity","e2e/login.e2e.spec.ts","",""
"","6927","Login with mixed case username","chromium","Sun Jul 20 04:33:32 GMT 2025","failed","Sun Jul 20 04:33:39 GMT 2025","Verify the user login with case sensitivity","e2e/login.e2e.spec.ts","",""
"","2747","Login with password at max length","chromium","Sun Jul 20 04:32:43 GMT 2025","passed","Sun Jul 20 04:32:45 GMT 2025","Verify the user login with max/min length","e2e/login.e2e.spec.ts","",""
"","2429","Login with username at min length","chromium","Sun Jul 20 04:32:45 GMT 2025","passed","Sun Jul 20 04:32:48 GMT 2025","Verify the user login with max/min length","e2e/login.e2e.spec.ts","",""
"","2463","Login with an invalid username","chromium","Sun Jul 20 04:31:50 GMT 2025","passed","Sun Jul 20 04:31:53 GMT 2025","Verify the user login with invalid account","e2e/login.e2e.spec.ts","",""
"","2704","Login with password having whitespace at the end","chromium","Sun Jul 20 04:32:35 GMT 2025","passed","Sun Jul 20 04:32:37 GMT 2025","Verify the user login with white spaces","e2e/login.e2e.spec.ts","",""
