"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6697","Login with username in uppercase","chromium","Sat Jul 19 04:45:34 GMT 2025","failed","Sat Jul 19 04:45:41 GMT 2025","Verify the user login with case sensitivity","e2e/login.e2e.spec.ts","",""
"","2120","Login with invalid username having special characters","chromium","Sat Jul 19 04:44:38 GMT 2025","passed","Sat Jul 19 04:44:41 GMT 2025","Verify the user login with special characters","e2e/login.e2e.spec.ts","",""
"","1795","Login with empty password","chromium","Sat Jul 19 04:44:31 GMT 2025","passed","Sat Jul 19 04:44:32 GMT 2025","Verify the user leaves empty fields","e2e/login.e2e.spec.ts","",""
"","2406","Login with password having whitespace at the end","chromium","Sat Jul 19 04:45:05 GMT 2025","passed","Sat Jul 19 04:45:08 GMT 2025","Verify the user login with white spaces","e2e/login.e2e.spec.ts","",""
"","2442","Login with an invalid password","chromium","Sat Jul 19 04:44:26 GMT 2025","passed","Sat Jul 19 04:44:29 GMT 2025","Verify the user login with invalid account","e2e/login.e2e.spec.ts","",""
"","1818","Login with empty username","chromium","Sat Jul 19 04:44:29 GMT 2025","passed","Sat Jul 19 04:44:31 GMT 2025","Verify the user leaves empty fields","e2e/login.e2e.spec.ts","",""
"","6784","Login with mixed case username","chromium","Sat Jul 19 04:45:59 GMT 2025","failed","Sat Jul 19 04:46:06 GMT 2025","Verify the user login with case sensitivity","e2e/login.e2e.spec.ts","",""
"","2100","Login with an invalid username","chromium","Sat Jul 19 04:44:24 GMT 2025","passed","Sat Jul 19 04:44:26 GMT 2025","Verify the user login with invalid account","e2e/login.e2e.spec.ts","",""
"","2098","Login with valid password having special characters","chromium","Sat Jul 19 04:44:36 GMT 2025","passed","Sat Jul 19 04:44:38 GMT 2025","Verify the user login with special characters","e2e/login.e2e.spec.ts","",""
"","1792","Login with both username and password fields empty","chromium","Sat Jul 19 04:44:32 GMT 2025","passed","Sat Jul 19 04:44:34 GMT 2025","Verify the user leaves empty fields","e2e/login.e2e.spec.ts","",""
"","2409","Login with password having whitespace at the beginning","chromium","Sat Jul 19 04:45:08 GMT 2025","passed","Sat Jul 19 04:45:10 GMT 2025","Verify the user login with white spaces","e2e/login.e2e.spec.ts","",""
"","6717","Login with username having whitespace at the end","chromium","Sat Jul 19 04:44:56 GMT 2025","failed","Sat Jul 19 04:45:02 GMT 2025","Verify the user login with white spaces","e2e/login.e2e.spec.ts","",""
"","2174","Login with username having whitespace at the beginning","chromium","Sat Jul 19 04:45:03 GMT 2025","passed","Sat Jul 19 04:45:05 GMT 2025","Verify the user login with white spaces","e2e/login.e2e.spec.ts","",""
"","2405","Login with password at min length","chromium","Sat Jul 19 04:45:17 GMT 2025","passed","Sat Jul 19 04:45:19 GMT 2025","Verify the user login with max/min length","e2e/login.e2e.spec.ts","",""
"","2235","Login with valid credentials successfully","chromium","Sat Jul 19 04:44:22 GMT 2025","passed","Sat Jul 19 04:44:24 GMT 2025","Verify the user can login with valid account","e2e/login.e2e.spec.ts","",""
"","2472","Login with password at max length","chromium","Sat Jul 19 04:45:12 GMT 2025","passed","Sat Jul 19 04:45:15 GMT 2025","Verify the user login with max/min length","e2e/login.e2e.spec.ts","",""
"","2148","Login with valid username having special characters","chromium","Sat Jul 19 04:44:34 GMT 2025","passed","Sat Jul 19 04:44:36 GMT 2025","Verify the user login with special characters","e2e/login.e2e.spec.ts","",""
"","7003","Login with username in lowercase","chromium","Sat Jul 19 04:46:14 GMT 2025","failed","Sat Jul 19 04:46:21 GMT 2025","Verify the user login with case sensitivity","e2e/login.e2e.spec.ts","",""
"","2181","Login with username at max length","chromium","Sat Jul 19 04:45:10 GMT 2025","passed","Sat Jul 19 04:45:12 GMT 2025","Verify the user login with max/min length","e2e/login.e2e.spec.ts","",""
"","2148","Login with username at min length","chromium","Sat Jul 19 04:45:15 GMT 2025","passed","Sat Jul 19 04:45:17 GMT 2025","Verify the user login with max/min length","e2e/login.e2e.spec.ts","",""
"","2328","Login with username with first letter uppercase","chromium","Sat Jul 19 04:45:42 GMT 2025","passed","Sat Jul 19 04:45:44 GMT 2025","Verify the user login with case sensitivity","e2e/login.e2e.spec.ts","",""
