"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6450","Login with username in lowercase","chromium","Sat Jul 19 04:57:53 GMT 2025","failed","Sat Jul 19 04:57:59 GMT 2025","Verify the user login with case sensitivity","e2e/login.e2e.spec.ts","",""
"","2002","Login with password having SQL injection","chromium","Sat Jul 19 04:58:36 GMT 2025","passed","Sat Jul 19 04:58:38 GMT 2025","Verify the user login with SQL injection","e2e/login.e2e.spec.ts","",""
"","31740","Reset password with valid username","chromium","Sat Jul 19 04:59:48 GMT 2025","broken","Sat Jul 19 05:00:20 GMT 2025","Verify the password reset functionality","e2e/login.e2e.spec.ts","",""
"","1928","Login with password at min length","chromium","Sat Jul 19 04:56:52 GMT 2025","passed","Sat Jul 19 04:56:54 GMT 2025","Verify the user login with max/min length","e2e/login.e2e.spec.ts","",""
"","3025","Login with password having XSS attack","chromium","Sat Jul 19 04:58:40 GMT 2025","passed","Sat Jul 19 04:58:43 GMT 2025","Verify the user login with XSS attack","e2e/login.e2e.spec.ts","",""
"","1225","Login with empty username","chromium","Sat Jul 19 04:56:12 GMT 2025","passed","Sat Jul 19 04:56:13 GMT 2025","Verify the user leaves empty fields","e2e/login.e2e.spec.ts","",""
"","2050","Login with password having whitespace at the end","chromium","Sat Jul 19 04:56:43 GMT 2025","passed","Sat Jul 19 04:56:45 GMT 2025","Verify the user login with white spaces","e2e/login.e2e.spec.ts","",""
"","1728","Login with password in lowercase","chromium","Sat Jul 19 04:58:25 GMT 2025","passed","Sat Jul 19 04:58:27 GMT 2025","Verify the user login with case sensitivity","e2e/login.e2e.spec.ts","",""
"","2191","Login with username having XSS attack","chromium","Sat Jul 19 04:58:38 GMT 2025","passed","Sat Jul 19 04:58:40 GMT 2025","Verify the user login with XSS attack","e2e/login.e2e.spec.ts","",""
"","6146","Login with password with first letter uppercase","chromium","Sat Jul 19 04:58:16 GMT 2025","failed","Sat Jul 19 04:58:22 GMT 2025","Verify the user login with case sensitivity","e2e/login.e2e.spec.ts","",""
"","10849","Employee does not exist","chromium","Sat Jul 19 05:01:17 GMT 2025","passed","Sat Jul 19 05:01:28 GMT 2025","Verify search employee","e2e/PIM/searchEmployee.e2e.spec.ts","",""
"","6459","Login with username having whitespace at the end","chromium","Sat Jul 19 04:56:34 GMT 2025","failed","Sat Jul 19 04:56:41 GMT 2025","Verify the user login with white spaces","e2e/login.e2e.spec.ts","",""
"","2089","Login with password in uppercase","chromium","Sat Jul 19 04:58:00 GMT 2025","passed","Sat Jul 19 04:58:02 GMT 2025","Verify the user login with case sensitivity","e2e/login.e2e.spec.ts","",""
"","1628","Login with username at max length","chromium","Sat Jul 19 04:56:47 GMT 2025","passed","Sat Jul 19 04:56:48 GMT 2025","Verify the user login with max/min length","e2e/login.e2e.spec.ts","",""
"","1841","Login with mixed case password","chromium","Sat Jul 19 04:58:23 GMT 2025","passed","Sat Jul 19 04:58:25 GMT 2025","Verify the user login with case sensitivity","e2e/login.e2e.spec.ts","",""
"","1617","Login with username at min length","chromium","Sat Jul 19 04:56:50 GMT 2025","passed","Sat Jul 19 04:56:52 GMT 2025","Verify the user login with max/min length","e2e/login.e2e.spec.ts","",""
"","1744","Login with username having emojis","chromium","Sat Jul 19 05:00:43 GMT 2025","passed","Sat Jul 19 05:00:45 GMT 2025","Verify the user login with emojis","e2e/login.e2e.spec.ts","",""
"","1581","Login with invalid username having special characters","chromium","Sat Jul 19 04:56:18 GMT 2025","passed","Sat Jul 19 04:56:20 GMT 2025","Verify the user login with special characters","e2e/login.e2e.spec.ts","",""
"","1936","Login with password at max length","chromium","Sat Jul 19 04:56:48 GMT 2025","passed","Sat Jul 19 04:56:50 GMT 2025","Verify the user login with max/min length","e2e/login.e2e.spec.ts","",""
"","1679","Login with username having SQL injection","chromium","Sat Jul 19 04:58:34 GMT 2025","passed","Sat Jul 19 04:58:36 GMT 2025","Verify the user login with SQL injection","e2e/login.e2e.spec.ts","",""
"","1859","Login with password in Arabic","chromium","Sat Jul 19 04:58:32 GMT 2025","passed","Sat Jul 19 04:58:34 GMT 2025","Verify the user login with multi-languages","e2e/login.e2e.spec.ts","",""
"","1894","Login with password having emojis","chromium","Sat Jul 19 05:00:45 GMT 2025","passed","Sat Jul 19 05:00:47 GMT 2025","Verify the user login with emojis","e2e/login.e2e.spec.ts","",""
"","1597","Login with valid credentials successfully","chromium","Sat Jul 19 04:56:06 GMT 2025","passed","Sat Jul 19 04:56:08 GMT 2025","Verify the user can login with valid account","e2e/login.e2e.spec.ts","",""
"","4456","Multiple failed login attempts","chromium","Sat Jul 19 05:00:47 GMT 2025","passed","Sat Jul 19 05:00:51 GMT 2025","Verify the user login with multiple attempts","e2e/login.e2e.spec.ts","",""
"","1216","Login with both username and password fields empty","chromium","Sat Jul 19 04:56:14 GMT 2025","passed","Sat Jul 19 04:56:15 GMT 2025","Verify the user leaves empty fields","e2e/login.e2e.spec.ts","",""
"","1743","Login with username with first letter uppercase","chromium","Sat Jul 19 04:57:15 GMT 2025","passed","Sat Jul 19 04:57:17 GMT 2025","Verify the user login with case sensitivity","e2e/login.e2e.spec.ts","",""
"","10415","Employee exists","chromium","Sat Jul 19 05:00:58 GMT 2025","passed","Sat Jul 19 05:01:08 GMT 2025","Verify search employee","e2e/PIM/searchEmployee.e2e.spec.ts","",""
"","2093","Login with password in Chinese","chromium","Sat Jul 19 04:58:28 GMT 2025","passed","Sat Jul 19 04:58:31 GMT 2025","Verify the user login with multi-languages","e2e/login.e2e.spec.ts","",""
"","1544","Login with valid username having special characters","chromium","Sat Jul 19 04:56:15 GMT 2025","passed","Sat Jul 19 04:56:17 GMT 2025","Verify the user login with special characters","e2e/login.e2e.spec.ts","",""
"","1778","Login with password having whitespace at the beginning","chromium","Sat Jul 19 04:56:45 GMT 2025","passed","Sat Jul 19 04:56:47 GMT 2025","Verify the user login with white spaces","e2e/login.e2e.spec.ts","",""
"","6629","Add new employee in OrangeHRM","chromium","Sat Jul 19 05:00:51 GMT 2025","passed","Sat Jul 19 05:00:58 GMT 2025","Verify adding new employee","e2e/PIM/addEmployee.e2e.spec.ts","",""
"","1536","Cancel reset password","chromium","Sat Jul 19 05:00:20 GMT 2025","passed","Sat Jul 19 05:00:22 GMT 2025","Verify the password reset functionality","e2e/login.e2e.spec.ts","",""
"","1509","Login with an invalid username","chromium","Sat Jul 19 04:56:08 GMT 2025","passed","Sat Jul 19 04:56:10 GMT 2025","Verify the user login with invalid account","e2e/login.e2e.spec.ts","",""
"","1089","Login with empty password","chromium","Sat Jul 19 04:56:13 GMT 2025","passed","Sat Jul 19 04:56:14 GMT 2025","Verify the user leaves empty fields","e2e/login.e2e.spec.ts","",""
"","1631","Login with username in Arabic","chromium","Sat Jul 19 04:58:31 GMT 2025","passed","Sat Jul 19 04:58:32 GMT 2025","Verify the user login with multi-languages","e2e/login.e2e.spec.ts","",""
"","6416","Login with mixed case username","chromium","Sat Jul 19 04:57:31 GMT 2025","failed","Sat Jul 19 04:57:38 GMT 2025","Verify the user login with case sensitivity","e2e/login.e2e.spec.ts","",""
"","2013","Login with an invalid password","chromium","Sat Jul 19 04:56:10 GMT 2025","passed","Sat Jul 19 04:56:12 GMT 2025","Verify the user login with invalid account","e2e/login.e2e.spec.ts","",""
"","1513","Login with username having whitespace at the beginning","chromium","Sat Jul 19 04:56:41 GMT 2025","passed","Sat Jul 19 04:56:43 GMT 2025","Verify the user login with white spaces","e2e/login.e2e.spec.ts","",""
"","6430","Login with username in uppercase","chromium","Sat Jul 19 04:57:08 GMT 2025","failed","Sat Jul 19 04:57:15 GMT 2025","Verify the user login with case sensitivity","e2e/login.e2e.spec.ts","",""
"","1770","Login with username in Chinese","chromium","Sat Jul 19 04:58:27 GMT 2025","passed","Sat Jul 19 04:58:28 GMT 2025","Verify the user login with multi-languages","e2e/login.e2e.spec.ts","",""
"","1509","Login with valid password having special characters","chromium","Sat Jul 19 04:56:17 GMT 2025","passed","Sat Jul 19 04:56:18 GMT 2025","Verify the user login with special characters","e2e/login.e2e.spec.ts","",""
"","6127","Login with strong valid password","chromium","Sat Jul 19 05:00:36 GMT 2025","failed","Sat Jul 19 05:00:42 GMT 2025","Verify the password that meets all criteria perfectly","e2e/login.e2e.spec.ts","",""
